district,area,perch,bedrooms,bathrooms,kitchen_area_sqft,parking_spots,has_garden,has_ac,water_supply,electricity,floors,year_built,price_lkr,nearest_city,property_type,house_size_sqft,house_age,condition,furnishing_status,road_access_width_ft,distance_to_main_road_km,distance_to_town_km,has_boundary_wall,has_servant_room,has_hot_water,has_security,roof_type,floor_type,listed_year,price_per_perch,bathroom_bedroom_ratio,luxury_score,location_category,house_selling_price_lkr
Badulla,Hali Ela,7,2,1,37,1,FALSE,TRUE,Both,Three phase,1,2015,6823744,Badulla,House,1280,11,Good,Semi furnished,15,1.96,4.59,TRUE,FALSE,FALSE,FALSE,Tile,Tile,2023,974821,0.5,6,Semi-urban,18795000
Matara,Nupe,14,5,4,173,1,TRUE,TRUE,Pipe-borne,Three phase,2,1997,20958396,Matara,House,2830,29,Needs renovation,Semi furnished,25,2.44,1.59,TRUE,TRUE,FALSE,TRUE,Concrete slab,Cement,2025,1497028,0.8,8,Urban,39821000
Ratnapura,Pelmadulla,14,4,4,132,2,TRUE,FALSE,Both,Three phase,2,2016,18542605,Ratnapura,House,2410,10,Good,Fully furnished,15,4.9,10.54,TRUE,FALSE,TRUE,FALSE,Concrete slab,Tile,2025,1324472,1,8,Semi-urban,43072000
Kurunegala,Melsiripura,10,4,3,135,2,TRUE,FALSE,Well,Three phase,1,2006,13274599,Kurunegala,House,2120,20,Average,Semi furnished,25,0.53,0.94,FALSE,FALSE,FALSE,TRUE,Tile,Terrazzo,2025,1327460,0.75,6,Urban,31177000
Trincomalee,Uppuveli,7,3,3,55,1,FALSE,TRUE,Well,Single phase,2,1985,7984880,Trincomalee,House,1890,41,Needs renovation,Unfurnished,10,1.68,5.04,FALSE,FALSE,FALSE,FALSE,Asbestos,Tile,2025,1140697,1,3,Semi-urban,12973000
Mannar,Mannar Central,5,2,1,56,1,TRUE,TRUE,Pipe-borne,Single phase,1,2023,5372099,Mannar,House,1110,3,New,Semi furnished,12,2.12,11.8,FALSE,FALSE,FALSE,FALSE,Concrete slab,Tile,2023,1074420,0.5,5,Rural,15941000
Hambantota,Hambantota Town,3,2,2,44,0,TRUE,TRUE,Both,Three phase,2,1991,2895713,Hambantota,House,1340,35,Needs renovation,Unfurnished,12,2.98,10.96,FALSE,FALSE,TRUE,TRUE,Tile,Cement,2026,965238,1,6,Semi-urban,7936000
Matara,Weligama,13,6,5,155,1,TRUE,FALSE,Well,Three phase,1,2010,18581939,Matara,House,2980,16,Average,Fully furnished,15,1.8,4.65,TRUE,FALSE,FALSE,TRUE,Tile,Tile,2024,1429380,0.83,7,Urban,49676000
Matara,Akurugoda,26,6,5,168,3,TRUE,TRUE,Well,Single phase,2,2008,35639661,Matara,House,3290,18,Average,Unfurnished,12,1.18,2.5,FALSE,FALSE,FALSE,FALSE,Tile,Tile,2025,1370756,0.83,6,Urban,59776000
Hambantota,Tangalle,6,2,1,35,2,TRUE,FALSE,Both,Single phase,1,2016,7096678,Hambantota,House,1170,10,Good,Unfurnished,10,3.11,5.83,TRUE,FALSE,FALSE,FALSE,Concrete slab,Terrazzo,2025,1182780,0.5,4,Semi-urban,16640000
Polonnaruwa,Polonnaruwa Central,3,4,3,66,2,FALSE,FALSE,Pipe-borne,Three phase,1,2013,4879581,Polonnaruwa,House,1920,13,Average,Unfurnished,30,1.17,2.8,FALSE,TRUE,TRUE,FALSE,Tile,Tile,2023,1626527,0.75,4,Semi-urban,17079000
Jaffna,Kokuvil,10,4,4,119,2,TRUE,FALSE,Pipe-borne,Three phase,1,1992,17519492,Jaffna,House,2160,34,Needs renovation,Unfurnished,12,1.27,3.54,TRUE,FALSE,FALSE,TRUE,Tile,Cement,2025,1751949,1,6,Urban,23003000
Galle,Karapitiya,18,7,5,177,3,TRUE,TRUE,Pipe-borne,Three phase,2,1997,33336535,Galle,House,3680,29,Needs renovation,Semi furnished,15,1.83,1.69,TRUE,FALSE,TRUE,TRUE,Tile,Tile,2024,1852030,0.71,11,Urban,56580000
Mannar,Mannar Central,4,2,1,52,0,FALSE,TRUE,Well,Single phase,1,2003,4875257,Mannar,Annex,900,23,Average,Unfurnished,20,5.18,16.93,TRUE,FALSE,TRUE,FALSE,Asbestos,Terrazzo,2023,1218814,0.5,4,Rural,8889000
Mannar,Mannar Central,6,1,1,67,0,TRUE,FALSE,Well,Three phase,2,1993,6005611,Mannar,House,1030,33,Needs renovation,Fully furnished,20,1.63,16.56,FALSE,FALSE,FALSE,FALSE,Asbestos,Cement,2023,1000935,1,4,Rural,9217000
Matara,Weligama,22,7,5,250,1,FALSE,TRUE,Both,Single phase,3,2002,29542748,Matara,Villa,3700,24,Average,Semi furnished,12,1.12,4.07,TRUE,TRUE,TRUE,TRUE,Concrete slab,Terrazzo,2023,1342852,0.71,7,Urban,60274000
Monaragala,Monaragala Central,18,7,5,167,3,TRUE,FALSE,Both,Single phase,1,2005,16177861,Monaragala,Villa,3460,21,Average,Semi furnished,30,3.17,12.02,TRUE,FALSE,FALSE,FALSE,Tile,Terrazzo,2025,898770,0.71,6,Rural,36617000
Kandy,Peradeniya,5,3,2,44,0,FALSE,TRUE,Well,Single phase,2,2017,9468835,Kandy,Apartment,1400,9,Good,Semi furnished,12,1.21,4.39,TRUE,FALSE,FALSE,TRUE,Tile,Terrazzo,2024,1893767,0.67,5,Urban,22626000
Ampara,Ampara Central,27,6,5,250,1,TRUE,FALSE,Both,Single phase,3,1993,38200362,Ampara,Villa,3570,33,Needs renovation,Unfurnished,12,5.48,17.2,TRUE,FALSE,TRUE,TRUE,Concrete slab,Tile,2024,1414828,0.83,5,Rural,38377000
Batticaloa,Batticaloa Town,11,5,5,94,1,TRUE,TRUE,Both,Single phase,2,2006,12741187,Batticaloa,House,2610,20,Average,Fully furnished,12,7.5,17.54,TRUE,FALSE,TRUE,FALSE,Asbestos,Cement,2023,1158290,1,8,Rural,31497000
Monaragala,Monaragala Central,8,3,2,131,0,TRUE,TRUE,Pipe-borne,Single phase,2,2011,11430841,Monaragala,House,1840,15,Average,Unfurnished,10,3.98,16.34,TRUE,FALSE,FALSE,TRUE,Concrete slab,Tile,2023,1428855,0.67,5,Rural,20131000
Mullaitivu,Mullaitivu Central,21,5,5,170,2,TRUE,FALSE,Both,Three phase,1,2023,17681126,Mullaitivu,Bungalow,2890,3,New,Unfurnished,30,8.83,10.12,TRUE,TRUE,FALSE,FALSE,Tile,Granite,2025,841958,1,5,Rural,42292000
Galle,Galle Fort,7,3,3,52,3,FALSE,TRUE,Well,Single phase,1,1990,12348565,Galle,House,1850,36,Needs renovation,Semi furnished,15,2.27,4.06,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2023,1764081,1,7,Urban,23551000
Kurunegala,Kurunegala Town,16,5,5,170,2,FALSE,FALSE,Pipe-borne,Single phase,1,1995,17140452,Kurunegala,House,2670,31,Needs renovation,Fully furnished,12,0.22,2.83,TRUE,FALSE,TRUE,FALSE,Concrete slab,Terrazzo,2025,1071278,1,6,Urban,33552000
Anuradhapura,Madawachchiya,18,6,5,226,1,TRUE,FALSE,Pipe-borne,Single phase,2,2021,27194231,Anuradhapura,House,3160,5,Good,Fully furnished,25,3.37,10.41,FALSE,FALSE,TRUE,FALSE,Concrete slab,Terrazzo,2023,1510791,0.83,5,Semi-urban,58732000
Jaffna,Kokuvil,6,4,3,83,0,FALSE,TRUE,Well,Three phase,1,2016,10116062,Jaffna,Apartment,1760,10,Good,Semi furnished,12,0.78,3.3,TRUE,TRUE,TRUE,TRUE,Concrete slab,Tile,2025,1686010,0.75,7,Urban,25198000
Anuradhapura,Madawachchiya,13,5,4,176,1,TRUE,FALSE,Pipe-borne,Three phase,1,2024,19099229,Anuradhapura,House,2560,2,New,Fully furnished,20,3.72,2,TRUE,FALSE,FALSE,FALSE,Tile,Tile,2024,1469171,0.8,6,Semi-urban,51425000
Matara,Akurugoda,2,3,2,46,0,TRUE,TRUE,Pipe-borne,Single phase,1,1991,4181111,Matara,House,1170,35,Needs renovation,Semi furnished,12,1.37,1.37,FALSE,FALSE,TRUE,TRUE,Asbestos,Tile,2025,2090556,0.67,6,Urban,9044000
Nuwara Eliya,Nuwara Eliya Central,16,5,4,154,1,FALSE,FALSE,Well,Single phase,2,1998,34974103,Nuwara Eliya,House,2630,28,Needs renovation,Semi furnished,15,5.07,5.47,TRUE,TRUE,FALSE,FALSE,Concrete slab,Cement,2026,2185881,0.8,3,Semi-urban,38932000
Kegalle,Kegalle Central,14,5,4,97,2,TRUE,FALSE,Pipe-borne,Three phase,1,2007,14936651,Kegalle,House,2570,19,Average,Unfurnished,25,4.43,6.84,TRUE,FALSE,FALSE,FALSE,Tile,Tile,2025,1066904,0.8,5,Semi-urban,33224000
Mullaitivu,Mullaitivu Central,3,2,1,35,2,FALSE,TRUE,Well,Single phase,1,2000,2726151,Mullaitivu,Annex,1070,26,Needs renovation,Unfurnished,12,2.26,11.28,TRUE,FALSE,TRUE,FALSE,Asbestos,Cement,2024,908717,0.5,6,Rural,6345000
Matara,Matara Town,7,2,1,84,2,TRUE,TRUE,Well,Single phase,2,1991,11154374,Matara,House,1460,35,Needs renovation,Semi furnished,12,0.18,2.5,TRUE,FALSE,FALSE,TRUE,Tile,Cement,2025,1593482,0.5,8,Urban,18851000
Badulla,Hali Ela,24,6,5,250,2,TRUE,FALSE,Pipe-borne,Single phase,2,2011,34199666,Badulla,Villa,3290,15,Average,Semi furnished,20,1.68,7.04,TRUE,TRUE,TRUE,FALSE,Concrete slab,Terrazzo,2025,1424986,0.83,6,Semi-urban,58823000
Ampara,Ampara Central,15,6,5,177,1,FALSE,FALSE,Pipe-borne,Three phase,2,1994,14100405,Ampara,Villa,3270,32,Needs renovation,Semi furnished,15,5.19,19.37,TRUE,FALSE,TRUE,FALSE,Concrete slab,Cement,2023,940027,0.83,5,Rural,24535000
Mannar,Mannar Central,8,4,4,72,0,TRUE,FALSE,Both,Single phase,2,2000,7729017,Mannar,House,1980,26,Needs renovation,Unfurnished,15,5.68,3.21,TRUE,FALSE,FALSE,FALSE,Asbestos,Tile,2024,966127,1,2,Rural,13548000
Batticaloa,Batticaloa Town,10,6,5,81,2,TRUE,FALSE,Well,Three phase,1,2007,10261911,Batticaloa,House,2610,19,Average,Unfurnished,25,5.22,14.48,FALSE,TRUE,FALSE,FALSE,Tile,Terrazzo,2024,1026191,0.83,4,Rural,25154000
Vavuniya,Vavuniya Central,10,5,4,50,1,FALSE,TRUE,Pipe-borne,Single phase,2,1996,8295643,Vavuniya,House,2320,30,Needs renovation,Fully furnished,15,7.5,13.48,TRUE,TRUE,FALSE,FALSE,Concrete slab,Tile,2024,829564,0.8,6,Rural,18651000
Ampara,Ampara Central,12,5,5,105,0,FALSE,FALSE,Well,Three phase,1,2002,9235656,Ampara,House,2560,24,Average,Unfurnished,15,4.02,4.49,TRUE,TRUE,FALSE,TRUE,Concrete slab,Cement,2024,769638,1,3,Rural,22672000
Kegalle,Kegalle Central,16,6,5,154,1,TRUE,TRUE,Both,Single phase,1,2022,21000908,Kegalle,Villa,3040,4,Good,Unfurnished,12,3.46,7.68,FALSE,FALSE,TRUE,FALSE,Concrete slab,Tile,2023,1312557,0.83,5,Semi-urban,45568000
Polonnaruwa,Polonnaruwa Central,3,2,1,49,1,TRUE,TRUE,Pipe-borne,Three phase,1,2024,3853495,Polonnaruwa,House,1140,2,New,Fully furnished,12,4.89,6.29,TRUE,FALSE,FALSE,FALSE,Tile,Tile,2024,1284498,0.5,8,Semi-urban,13487000
Kandy,Katugastota,10,4,4,116,2,FALSE,TRUE,Both,Three phase,1,2009,22813541,Kandy,House,2210,17,Average,Fully furnished,20,0.94,1.37,FALSE,FALSE,FALSE,TRUE,Tile,Cement,2025,2281354,1,8,Urban,45078000
Trincomalee,China Bay,4,1,1,35,1,TRUE,TRUE,Pipe-borne,Three phase,1,2023,6185209,Trincomalee,House,630,3,New,Semi furnished,10,0.97,2.9,FALSE,FALSE,TRUE,FALSE,Tile,Cement,2026,1546302,1,7,Semi-urban,12123000
Mannar,Mannar Central,9,5,4,122,2,TRUE,FALSE,Both,Single phase,1,2002,10290541,Mannar,House,2320,24,Average,Fully furnished,15,8.49,17.79,TRUE,FALSE,TRUE,FALSE,Tile,Tile,2024,1143393,0.8,7,Rural,25576000
Batticaloa,Eravur,4,3,2,52,0,FALSE,TRUE,Well,Single phase,2,2022,4975445,Batticaloa,House,1650,4,Good,Semi furnished,12,1.94,15.85,FALSE,FALSE,FALSE,FALSE,Concrete slab,Granite,2024,1243861,0.67,3,Rural,16101000
Kegalle,Kegalle Central,3,3,3,41,0,FALSE,TRUE,Pipe-borne,Three phase,2,2019,5390889,Kegalle,House,1640,7,Good,Unfurnished,12,4.3,10.37,FALSE,FALSE,FALSE,FALSE,Concrete slab,Cement,2026,1796963,1,3,Semi-urban,17587000
Vavuniya,Vavuniya Central,5,1,1,61,1,TRUE,FALSE,Pipe-borne,Single phase,1,2017,5652044,Vavuniya,House,740,9,Good,Fully furnished,25,8.64,13.3,TRUE,FALSE,FALSE,FALSE,Concrete slab,Terrazzo,2023,1130409,1,5,Rural,11547000
Galle,Karapitiya,2,3,2,35,1,TRUE,TRUE,Both,Single phase,1,2006,5471566,Galle,House,1320,20,Average,Semi furnished,12,1.18,4.27,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2026,2735783,0.67,6,Urban,14744000
Gampaha,Negombo,5,2,2,35,1,TRUE,FALSE,Well,Single phase,2,2017,7964910,Gampaha,House,1160,9,Good,Semi furnished,20,1,3.58,FALSE,FALSE,TRUE,TRUE,Concrete slab,Tile,2026,1592982,1,5,Urban,19663000
Hambantota,Hambantota Town,21,7,5,216,2,FALSE,TRUE,Well,Single phase,2,1996,18241860,Hambantota,House,3710,30,Needs renovation,Unfurnished,30,4.19,2.38,FALSE,FALSE,FALSE,FALSE,Concrete slab,Cement,2024,868660,0.71,4,Semi-urban,38085000
Batticaloa,Eravur,26,6,5,250,2,FALSE,FALSE,Pipe-borne,Three phase,3,2002,31431757,Batticaloa,House,3630,24,Average,Semi furnished,20,3.11,4.52,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2026,1208914,0.83,5,Rural,49511000
Mannar,Mannar Central,5,2,1,35,0,FALSE,TRUE,Pipe-borne,Three phase,1,2004,4104294,Mannar,House,1060,22,Average,Unfurnished,20,3.08,11.28,TRUE,FALSE,FALSE,FALSE,Tile,Terrazzo,2025,820859,0.5,4,Rural,9854000
Jaffna,Nallur,19,5,5,154,2,FALSE,FALSE,Both,Three phase,1,2001,22596696,Jaffna,House,2730,25,Average,Unfurnished,20,2.49,3.28,TRUE,FALSE,TRUE,TRUE,Tile,Tile,2026,1189300,1,6,Urban,39587000
Jaffna,Kokuvil,8,1,1,73,0,TRUE,TRUE,Both,Single phase,2,1997,12862601,Jaffna,House,1220,29,Needs renovation,Fully furnished,15,0.7,4.95,FALSE,FALSE,TRUE,TRUE,Concrete slab,Tile,2023,1607825,1,7,Urban,19672000
Hambantota,Ambalantota,2,2,1,49,1,TRUE,FALSE,Both,Three phase,1,1998,2863430,Hambantota,Annex,1070,28,Needs renovation,Semi furnished,10,2.7,8.66,FALSE,FALSE,TRUE,FALSE,Asbestos,Terrazzo,2024,1431715,0.5,5,Semi-urban,8216000
Badulla,Hali Ela,17,6,5,175,1,FALSE,TRUE,Pipe-borne,Single phase,2,2000,23132149,Badulla,House,3140,26,Needs renovation,Semi furnished,10,3.86,3.91,TRUE,TRUE,TRUE,FALSE,Concrete slab,Cement,2025,1360715,0.83,6,Semi-urban,36423000
Mullaitivu,Mullaitivu Central,4,1,1,36,2,FALSE,FALSE,Well,Three phase,1,1999,4211062,Mullaitivu,House,840,27,Needs renovation,Unfurnished,15,3.03,6.82,TRUE,FALSE,TRUE,FALSE,Concrete slab,Tile,2023,1052766,1,5,Rural,6595000
Jaffna,Nallur,9,5,4,88,2,TRUE,TRUE,Pipe-borne,Single phase,1,2003,10942073,Jaffna,House,2320,23,Average,Unfurnished,15,2.42,2.64,TRUE,FALSE,TRUE,TRUE,Tile,Tile,2026,1215786,0.8,8,Urban,28941000
Trincomalee,China Bay,7,3,3,77,0,FALSE,FALSE,Pipe-borne,Three phase,2,2012,7557015,Trincomalee,House,1870,14,Average,Unfurnished,20,2.96,10.2,TRUE,FALSE,FALSE,TRUE,Concrete slab,Tile,2024,1079574,1,3,Semi-urban,21477000
Jaffna,Chunnakam,2,2,2,35,0,FALSE,TRUE,Pipe-borne,Single phase,1,2024,3973125,Jaffna,House,970,2,New,Semi furnished,20,0.67,4.21,TRUE,FALSE,TRUE,FALSE,Tile,Cement,2024,1986562,1,5,Urban,13906000
Batticaloa,Kallady,10,2,2,124,0,FALSE,TRUE,Well,Single phase,2,1990,15319973,Batticaloa,House,1560,36,Needs renovation,Semi furnished,15,6.2,14.39,TRUE,FALSE,TRUE,FALSE,Concrete slab,Cement,2026,1531997,1,5,Rural,16322000
Anuradhapura,Madawachchiya,3,3,3,35,2,TRUE,FALSE,Well,Single phase,1,2005,4375914,Anuradhapura,House,1620,21,Average,Semi furnished,15,4.82,7.01,TRUE,FALSE,FALSE,TRUE,Asbestos,Granite,2026,1458638,1,6,Semi-urban,15316000
Hambantota,Hambantota Town,7,1,1,98,1,FALSE,FALSE,Both,Three phase,2,2021,6432469,Hambantota,House,1080,5,Good,Unfurnished,10,2.05,3.47,TRUE,FALSE,FALSE,FALSE,Concrete slab,Terrazzo,2026,918924,1,3,Semi-urban,16332000
Matale,Matale Central,21,5,5,250,2,TRUE,FALSE,Both,Three phase,3,1988,29108848,Matale,House,3350,38,Needs renovation,Semi furnished,12,4.35,6.34,TRUE,TRUE,TRUE,FALSE,Tile,Cement,2024,1386136,1,7,Semi-urban,40743000
Badulla,Badulla Town,11,4,3,74,1,TRUE,FALSE,Pipe-borne,Three phase,1,2022,13904466,Badulla,House,1890,4,Good,Semi furnished,10,2.61,6.31,TRUE,FALSE,TRUE,TRUE,Tile,Tile,2025,1264042,0.75,7,Semi-urban,31227000
Badulla,Bandarawela,13,4,3,173,2,TRUE,FALSE,Pipe-borne,Three phase,3,2023,21464422,Badulla,House,2490,3,New,Semi furnished,12,3.54,5.36,TRUE,FALSE,FALSE,FALSE,Concrete slab,Wood,2025,1651109,0.75,6,Semi-urban,47135000
Mullaitivu,Mullaitivu Central,21,6,5,208,3,TRUE,FALSE,Well,Single phase,2,2009,17253843,Mullaitivu,Villa,3220,17,Average,Unfurnished,20,4.05,7.63,FALSE,TRUE,FALSE,FALSE,Concrete slab,Granite,2023,821612,0.83,4,Rural,36304000
Colombo,Nugegoda,8,2,1,90,0,FALSE,FALSE,Pipe-borne,Single phase,1,2023,18514038,Colombo,House,1200,3,New,Semi furnished,12,0.86,2.82,TRUE,FALSE,FALSE,TRUE,Concrete slab,Tile,2024,2314255,0.5,3,Urban,33504000
Ratnapura,Ratnapura Town,17,6,5,205,3,FALSE,FALSE,Both,Single phase,2,1990,17575976,Ratnapura,House,3170,36,Needs renovation,Semi furnished,12,1.08,6.54,TRUE,TRUE,FALSE,FALSE,Concrete slab,Terrazzo,2026,1033881,0.83,5,Semi-urban,30409000
Kegalle,Kegalle Central,15,5,5,138,3,FALSE,TRUE,Both,Single phase,1,2010,18611081,Kegalle,House,2810,16,Average,Semi furnished,10,0.96,6.24,FALSE,FALSE,TRUE,FALSE,Tile,Tile,2023,1240739,1,7,Semi-urban,41857000
Galle,Unawatuna,14,5,5,166,1,TRUE,TRUE,Both,Three phase,1,1996,25042433,Galle,House,2510,30,Needs renovation,Fully furnished,25,1.11,3.37,TRUE,TRUE,TRUE,TRUE,Asbestos,Cement,2025,1788745,1,10,Urban,44840000
Gampaha,Kadawatha,6,2,1,83,1,TRUE,FALSE,Well,Single phase,1,2014,14530909,Gampaha,House,1070,12,Good,Semi furnished,15,2.39,0.65,TRUE,FALSE,TRUE,TRUE,Tile,Tile,2025,2421818,0.5,6,Urban,23641000
Matara,Akurugoda,19,6,5,98,2,FALSE,FALSE,Well,Three phase,1,2016,22214687,Matara,Villa,3130,10,Good,Fully furnished,30,1.82,3.53,TRUE,TRUE,TRUE,FALSE,Tile,Tile,2026,1169194,0.83,7,Urban,59745000
Nuwara Eliya,Nuwara Eliya Central,12,6,5,105,1,TRUE,FALSE,Pipe-borne,Three phase,1,2004,25474852,Nuwara Eliya,House,2720,22,Average,Semi furnished,15,3.76,2.04,TRUE,FALSE,TRUE,FALSE,Asbestos,Tile,2025,2122904,0.83,6,Semi-urban,42414000
Batticaloa,Kallady,2,2,2,38,1,TRUE,FALSE,Pipe-borne,Three phase,2,1988,3866349,Batticaloa,House,1260,38,Needs renovation,Semi furnished,25,6.77,18.27,FALSE,FALSE,FALSE,FALSE,Asbestos,Tile,2024,1933174,1,4,Rural,6581000
Badulla,Badulla Town,7,2,2,97,0,FALSE,FALSE,Well,Single phase,1,2001,6702699,Badulla,House,1260,25,Average,Semi furnished,20,0.76,6.97,TRUE,FALSE,TRUE,TRUE,Concrete slab,Tile,2025,957528,1,4,Semi-urban,14784000
Hambantota,Tangalle,9,3,3,123,1,FALSE,FALSE,Pipe-borne,Single phase,1,1994,10898045,Hambantota,House,1730,32,Needs renovation,Unfurnished,15,4.31,4.8,TRUE,FALSE,FALSE,TRUE,Asbestos,Cement,2023,1210894,1,3,Semi-urban,18610000
Trincomalee,Uppuveli,20,7,5,176,1,TRUE,FALSE,Pipe-borne,Single phase,3,2016,30470991,Trincomalee,Villa,3530,10,Good,Fully furnished,10,3.36,3.74,TRUE,FALSE,TRUE,FALSE,Concrete slab,Tile,2024,1523550,0.71,6,Semi-urban,63287000
Batticaloa,Eravur,7,4,3,78,1,FALSE,FALSE,Pipe-borne,Three phase,2,2021,9249241,Batticaloa,House,2100,5,Good,Semi furnished,20,8.17,5.71,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2024,1321320,0.75,4,Rural,24100000
Hambantota,Tangalle,35,6,5,250,1,TRUE,FALSE,Well,Three phase,3,2003,35530378,Hambantota,Villa,3420,23,Average,Unfurnished,12,0.56,10.81,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2025,1015154,0.83,4,Semi-urban,61862000
Kegalle,Kegalle Central,3,3,3,39,1,TRUE,FALSE,Pipe-borne,Three phase,1,2008,2478047,Kegalle,House,1420,18,Average,Unfurnished,20,3.27,2.08,TRUE,FALSE,FALSE,FALSE,Tile,Tile,2023,826016,1,4,Semi-urban,8673000
Hambantota,Ambalantota,17,6,5,186,2,TRUE,FALSE,Pipe-borne,Three phase,2,2022,19498182,Hambantota,Villa,3250,4,Good,Unfurnished,12,0.55,8.57,FALSE,TRUE,TRUE,FALSE,Concrete slab,Tile,2025,1146952,0.83,5,Semi-urban,48895000
Kalutara,Wadduwa,11,5,4,163,1,FALSE,TRUE,Well,Three phase,2,2006,16604569,Kalutara,House,2490,20,Average,Fully furnished,12,1.14,3.91,TRUE,FALSE,TRUE,TRUE,Concrete slab,Cement,2023,1509506,0.8,9,Urban,42778000
Mannar,Mannar Central,16,7,5,185,2,TRUE,FALSE,Well,Three phase,2,2012,17675554,Mannar,Villa,3470,14,Average,Unfurnished,20,4.32,12.67,TRUE,FALSE,TRUE,TRUE,Tile,Tile,2024,1104722,0.71,7,Rural,37140000
Kurunegala,Polgahawela,16,7,5,120,3,TRUE,FALSE,Well,Single phase,2,2008,14973146,Kurunegala,Villa,3470,18,Average,Unfurnished,25,1.14,1.52,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2024,935822,0.71,5,Urban,43690000
Gampaha,Negombo,33,6,5,250,2,FALSE,TRUE,Well,Three phase,2,1987,55572145,Gampaha,Villa,3340,39,Needs renovation,Fully furnished,30,0.13,1.47,TRUE,TRUE,TRUE,FALSE,Concrete slab,Terrazzo,2025,1684004,0.83,9,Urban,80388000
Nuwara Eliya,Nuwara Eliya Central,10,4,4,121,1,TRUE,FALSE,Well,Three phase,2,1989,23520762,Nuwara Eliya,House,2280,37,Needs renovation,Fully furnished,12,1.5,2.24,TRUE,FALSE,FALSE,TRUE,Concrete slab,Cement,2025,2352076,1,7,Semi-urban,31363000
Galle,Galle Fort,2,4,3,35,0,TRUE,FALSE,Both,Three phase,1,2005,4641019,Galle,House,1630,21,Average,Unfurnished,15,2.2,0.79,TRUE,FALSE,TRUE,FALSE,Tile,Terrazzo,2026,2320510,0.75,4,Urban,16244000
Vavuniya,Vavuniya Central,8,3,3,69,1,TRUE,TRUE,Well,Single phase,1,2000,11244981,Vavuniya,House,1700,26,Needs renovation,Unfurnished,15,3.28,4.83,TRUE,FALSE,TRUE,TRUE,Asbestos,Tile,2025,1405623,1,7,Rural,14282000
Hambantota,Hambantota Town,8,2,1,106,0,FALSE,FALSE,Pipe-borne,Single phase,1,2008,9164461,Hambantota,House,1060,18,Average,Unfurnished,15,4.32,4.55,FALSE,FALSE,FALSE,FALSE,Tile,Tile,2023,1145558,0.5,0,Semi-urban,17788000
Ratnapura,Ratnapura Town,15,6,5,169,2,TRUE,FALSE,Both,Three phase,1,1987,16412969,Ratnapura,House,2960,39,Needs renovation,Unfurnished,25,1.62,4.9,TRUE,FALSE,FALSE,FALSE,Tile,Tile,2026,1094198,0.83,5,Semi-urban,25614000
Colombo,Rajagiriya,36,6,5,250,2,TRUE,FALSE,Pipe-borne,Single phase,2,2016,120803990,Colombo,House,3420,10,Good,Unfurnished,15,1.92,2.41,FALSE,TRUE,FALSE,TRUE,Tile,Terrazzo,2025,3355666,0.83,4,Urban,312632000
Anuradhapura,Madawachchiya,18,6,5,180,1,FALSE,FALSE,Both,Three phase,1,2011,19568738,Anuradhapura,House,3160,15,Average,Semi furnished,30,4.81,9.81,FALSE,FALSE,TRUE,FALSE,Tile,Tile,2023,1087152,0.83,4,Semi-urban,40978000
Kurunegala,Polgahawela,13,6,5,166,2,TRUE,TRUE,Both,Single phase,2,2020,20907473,Kurunegala,House,3200,6,Good,Unfurnished,20,2.36,4.14,TRUE,FALSE,FALSE,TRUE,Concrete slab,Terrazzo,2023,1608267,0.83,7,Urban,48071000
Kandy,Peradeniya,12,4,3,170,0,FALSE,TRUE,Pipe-borne,Single phase,2,1999,27666758,Kandy,House,2110,27,Needs renovation,Semi furnished,20,2.2,4.37,TRUE,FALSE,TRUE,FALSE,Concrete slab,Tile,2024,2305563,0.75,5,Urban,37078000
Trincomalee,Nilaveli,24,7,5,185,1,TRUE,FALSE,Well,Three phase,2,1998,26360282,Trincomalee,Villa,3460,28,Needs renovation,Fully furnished,12,4.82,6.44,FALSE,TRUE,FALSE,FALSE,Concrete slab,Tile,2025,1098345,0.71,5,Semi-urban,45785000
Hambantota,Ambalantota,2,1,1,42,1,TRUE,TRUE,Both,Single phase,1,1995,3885875,Hambantota,Annex,790,31,Needs renovation,Unfurnished,20,3.52,7.77,TRUE,FALSE,TRUE,FALSE,Concrete slab,Cement,2023,1942938,1,6,Semi-urban,6789000
Ampara,Ampara Central,54,6,5,250,1,TRUE,FALSE,Pipe-borne,Three phase,2,2025,44043389,Ampara,House,3440,1,New,Semi furnished,15,7.63,11.54,TRUE,FALSE,FALSE,FALSE,Concrete slab,Cement,2023,815618,0.83,5,Rural,73449000
Gampaha,Gampaha Town,2,4,3,52,0,TRUE,TRUE,Pipe-borne,Three phase,2,2010,4982809,Gampaha,House,1860,16,Average,Semi furnished,12,2.11,3.95,FALSE,FALSE,TRUE,TRUE,Tile,Tile,2024,2491404,0.75,7,Urban,17440000
Kurunegala,Pannala,10,4,3,112,1,FALSE,TRUE,Pipe-borne,Single phase,2,1989,14405742,Kurunegala,House,2250,37,Needs renovation,Unfurnished,15,0.16,3.48,TRUE,TRUE,FALSE,TRUE,Concrete slab,Cement,2024,1440574,0.75,5,Urban,21151000
